Level	Rule Name	Subject	Property	Value
ERROR	missing_label	http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Role	rdfs:label	
ERROR	missing_label	http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#hasLocation	rdfs:label	
ERROR	missing_label	http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#hasParticipant	rdfs:label	
ERROR	missing_label	xsd:date	rdfs:label	
ERROR	missing_label	http://www.w3.org/2006/time#Interval	rdfs:label	
ERROR	missing_label	http://www.w3.org/2006/time#inXSDDateTimeStamp	rdfs:label	
ERROR	missing_label	prov:generatedAtTime	rdfs:label	
ERROR	missing_label	prov:wasAttributedTo	rdfs:label	
ERROR	missing_label	http://www.w3.org/ns/regorg#RegisteredOrganization	rdfs:label	
WARN	missing_definition	http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Role	IAO:0000115	
WARN	missing_definition	http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#hasLocation	IAO:0000115	
WARN	missing_definition	http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#hasParticipant	IAO:0000115	
WARN	missing_definition	xsd:date	IAO:0000115	
WARN	missing_definition	http://www.w3.org/2006/time#Instant	IAO:0000115	
WARN	missing_definition	http://www.w3.org/2006/time#Interval	IAO:0000115	
WARN	missing_definition	http://www.w3.org/2006/time#inXSDDateTimeStamp	IAO:0000115	
WARN	missing_definition	http://www.w3.org/ns/org#identifier	IAO:0000115	
WARN	missing_definition	prov:generatedAtTime	IAO:0000115	
WARN	missing_definition	prov:wasAttributedTo	IAO:0000115	
WARN	missing_definition	http://www.w3.org/ns/regorg#RegisteredOrganization	IAO:0000115	
WARN	missing_definition	https://cdm.ovh/rsm/operations/rope/rope#AdministrativeState	IAO:0000115	
WARN	missing_definition	https://cdm.ovh/rsm/operations/rope/rope#CarrierState	IAO:0000115	
WARN	missing_definition	https://cdm.ovh/rsm/operations/rope/rope#Circulation	IAO:0000115	
WARN	missing_definition	https://cdm.ovh/rsm/operations/rope/rope#Container	IAO:0000115	
WARN	missing_definition	https://cdm.ovh/rsm/operations/rope/rope#ContentLocation	IAO:0000115	
WARN	missing_definition	https://cdm.ovh/rsm/operations/rope/rope#CustomsStatus	IAO:0000115	
WARN	missing_definition	https://cdm.ovh/rsm/operations/rope/rope#ExecutedJourney	IAO:0000115	
WARN	missing_definition	https://cdm.ovh/rsm/operations/rope/rope#Facility	IAO:0000115	
WARN	missing_definition	https://cdm.ovh/rsm/operations/rope/rope#FacilityRoleOrFunction	IAO:0000115	
WARN	missing_definition	https://cdm.ovh/rsm/operations/rope/rope#FreightRole	IAO:0000115	
WARN	missing_definition	https://cdm.ovh/rsm/operations/rope/rope#ITU	IAO:0000115	
WARN	missing_definition	https://cdm.ovh/rsm/operations/rope/rope#Image	IAO:0000115	
WARN	missing_definition	https://cdm.ovh/rsm/operations/rope/rope#Journey	IAO:0000115	
WARN	missing_definition	https://cdm.ovh/rsm/operations/rope/rope#JourneySchedule	IAO:0000115	
WARN	missing_definition	https://cdm.ovh/rsm/operations/rope/rope#JourneySection	IAO:0000115	
WARN	missing_definition	https://cdm.ovh/rsm/operations/rope/rope#Load	IAO:0000115	
WARN	missing_definition	https://cdm.ovh/rsm/operations/rope/rope#LoadRole	IAO:0000115	
WARN	missing_definition	https://cdm.ovh/rsm/operations/rope/rope#LoadState	IAO:0000115	
WARN	missing_definition	https://cdm.ovh/rsm/operations/rope/rope#LocomotiveRole	IAO:0000115	
WARN	missing_definition	https://cdm.ovh/rsm/operations/rope/rope#Message	IAO:0000115	
WARN	missing_definition	https://cdm.ovh/rsm/operations/rope/rope#OperationalArtifact	IAO:0000115	
WARN	missing_definition	https://cdm.ovh/rsm/operations/rope/rope#OperationalEntity	IAO:0000115	
WARN	missing_definition	https://cdm.ovh/rsm/operations/rope/rope#OperationalInstant	IAO:0000115	
WARN	missing_definition	https://cdm.ovh/rsm/operations/rope/rope#OperationalInterval	IAO:0000115	
WARN	missing_definition	https://cdm.ovh/rsm/operations/rope/rope#OperationalLocation	IAO:0000115	
WARN	missing_definition	https://cdm.ovh/rsm/operations/rope/rope#OperationalProcess	IAO:0000115	
WARN	missing_definition	https://cdm.ovh/rsm/operations/rope/rope#OperationalRole	IAO:0000115	
WARN	missing_definition	https://cdm.ovh/rsm/operations/rope/rope#OperationalState	IAO:0000115	
WARN	missing_definition	https://cdm.ovh/rsm/operations/rope/rope#OperationalTime	IAO:0000115	
WARN	missing_definition	https://cdm.ovh/rsm/operations/rope/rope#OperationsStakeholder	IAO:0000115	
WARN	missing_definition	https://cdm.ovh/rsm/operations/rope/rope#PassengerRole	IAO:0000115	
WARN	missing_definition	https://cdm.ovh/rsm/operations/rope/rope#Path	IAO:0000115	
WARN	missing_definition	https://cdm.ovh/rsm/operations/rope/rope#PlannedJourney	IAO:0000115	
WARN	missing_definition	https://cdm.ovh/rsm/operations/rope/rope#PlannedJourneyOrPath	IAO:0000115	
WARN	missing_definition	https://cdm.ovh/rsm/operations/rope/rope#ReferenceOTN	IAO:0000115	
WARN	missing_definition	https://cdm.ovh/rsm/operations/rope/rope#SchedulePart	IAO:0000115	
WARN	missing_definition	https://cdm.ovh/rsm/operations/rope/rope#ServiceType	IAO:0000115	
WARN	missing_definition	https://cdm.ovh/rsm/operations/rope/rope#ShuntingMovement	IAO:0000115	
WARN	missing_definition	https://cdm.ovh/rsm/operations/rope/rope#StaticSection	IAO:0000115	
WARN	missing_definition	https://cdm.ovh/rsm/operations/rope/rope#SwapBody	IAO:0000115	
WARN	missing_definition	https://cdm.ovh/rsm/operations/rope/rope#TafMessage	IAO:0000115	
WARN	missing_definition	https://cdm.ovh/rsm/operations/rope/rope#TemporalRole	IAO:0000115	
WARN	missing_definition	https://cdm.ovh/rsm/operations/rope/rope#Track	IAO:0000115	
WARN	missing_definition	https://cdm.ovh/rsm/operations/rope/rope#TractionProvisionRole	IAO:0000115	
WARN	missing_definition	https://cdm.ovh/rsm/operations/rope/rope#Trailer	IAO:0000115	
